FDP Name,Street Name,Section,Latitude,Longitude
KGU_C065M_DP0002,KENINGAU-NABAWAN,KAMPUNG BIA,5.278209841,116.1785349
KGU_C065M_DP0003,KENINGAU-NABAWAN,KAMPUNG BIA,5.278916823,116.1790052
KGU_C065M_DP0004,KENINGAU-NABAWAN,KAMPUNG BIA,5.27892279,116.1785409
KGU_C065M_DP0005,KENINGAU-NABAWAN,KAMPUNG BIA,5.279799805,116.1788075
KGU_C065M_DP0006,KENINGAU-NABAWAN,KAMPUNG BIA,5.280360616,116.1790532
KGU_C065M_DP0007,KENINGAU-NABAWAN,KAMPUNG BIA,5.280378515,116.1785619
KGU_C065M_DP0008,KENINGAU-NABAWAN,KAMPUNG BIA,5.277597095,116.1981015
KGU_C065M_DP0009,KENINGAU-NABAWAN,KAMPUNG BIA,5.278317995,116.197538
KGU_C065M_DP0010,KENINGAU-NABAWAN,KAMPUNG BIA,5.27871362,116.1967012
KGU_C065M_DP0011,KENINGAU-NABAWAN,KAMPUNG BIA,5.279399911,116.1970998
KGU_C065M_DP0012,KENINGAU-NABAWAN,KAMPUNG BIA,5.283989289,116.1938963
KGU_C065M_DP0013,PERWIRA 4,TAMAN PERWIRA BIAH,5.280946889,116.1782173
KGU_C065M_DP0014,PERWIRA 4,TAMAN PERWIRA BIAH,5.28152557,116.1782024
KGU_C065M_DP0015,PERWIRA 4,TAMAN PERWIRA BIAH,5.282486643,116.1782151
KGU_C065M_DP0016,PERWIRA 4,TAMAN PERWIRA BIAH,5.283093122,116.1782014
KGU_C066M_DP0001,TANAH MERAH,KAMPUNG TUDAN BARU,5.385324846,116.1712163
KGU_C066M_DP0002,TANAH MERAH,KAMPUNG TUDAN BARU,5.386142058,116.1743379
KGU_C066M_DP0003,TANAH MERAH,KAMPUNG TUDAN BARU,5.382715126,116.1759765
KGU_C066M_DP0004,TANAH MERAH,KAMPUNG TUDAN BARU,5.382792673,116.1782234
KGU_C066M_DP004A,TANAH MERAH,KAMPUNG TUDAN BARU,5.383400365,116.1791625
KGU_C067M_DP0001,KUANGOH,KAMPUNG KUANGOH,5.424629748,116.2008406
KGU_C067M_DP0002,KUANGOH,KAMPUNG KUANGOH,5.422356388,116.2010426
KGU_C067M_DP0003,KUANGOH,KAMPUNG KUANGOH,5.421275779,116.2021155
KGU_C067M_DP0004,KUANGOH,KAMPUNG KUANGOH,5.423276222,116.2001446
KGU_C067M_DP0005,KAMPUNG BARU,KAMPUNG BARU,5.42667755,116.1957354
KGU_C067M_DP0006,KAMPUNG BARU,KAMPUNG BARU,5.429333446,116.1916663
KGU_C067M_DP0007,KAMPUNG BARU,KAMPUNG BARU,5.429488942,116.193827
KGU_C067M_DP0008,KAMPUNG BARU,KAMPUNG BARU,5.431565612,116.188541
KGU_C067M_DP0009,KAMPUNG BARU,KAMPUNG BARU,5.434810942,116.188008
KGU_C067M_DP0010,KAMPUNG BARU,KAMPUNG BARU,5.434135446,116.1893895
KGU_C067M_DP0011,KAMPUNG LIPASU,KAMPUNG LIPASU,5.437723777,116.1879278
KGU_C067M_DP0012,KAMPUNG LIPASU,KAMPUNG LIPASU,5.441284554,116.1878448
KGU_C067M_DP0013,KAMPUNG LIPASU,KAMPUNG LIPASU,5.442794,116.1894734
KGU_C067M_DP001A,KENINGAU-APIN APIN,KAMPUNG KUANGOH,5.42697433,116.2023368
KGU_C067M_DP002A,KENINGAU-APIN APIN,KAMPUNG KUANGOH,5.42414833,116.2022262
KGU_C067M_DP007A,KAMPUNG BARU,KAMPUNG BARU,5.431981165,116.1964674
KGU_C067M_DP008A,KAMPUNG BARU,KAMPUNG BARU,5.432772165,116.1890772
KGU_C067M_DP010A,KAMPUNG BARU,KAMPUNG BARU,5.434761612,116.1913356
KGU_C067M_DP010B,KAMPUNG BARU,KAMPUNG BARU,5.435613835,116.193133
KGU_C067M_DP012A,KAMPUNG LIPASU,KAMPUNG LIPASU,5.443820719,116.1884252
KGU_C067M_DP013A,KAMPUNG LIPASU,KAMPUNG LIPASU,5.444382719,116.1907997
NBN_C001_DP0001,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.92931502,116.4899535
NBN_C001_DP0002,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.933028805,116.485846
NBN_C001_DP0003,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.969279759,116.4602787
NBN_C001_DP0004,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.951289033,116.4629719
NBN_C001_DP0005,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.946341614,116.474697
NBN_C001_DP0006,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.940967235,116.4777776
NBN_C001_DP0007,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.938368167,116.4802961
NBN_C001_DP0008,NABWAN-KALABAKAN,KAMPUNG PANDIWAN,4.937481932,116.4805318
NBN_C001_DP002A,NABAWAN-KALABAKAN,KAMPUNG PANDIWAN,,
NBN_C001_DP006A,NABAWAN-KALABAKAN,KAMPUNG PANDIWAN,,
NBN_C002_DP0001,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.99909146,116.4659515
NBN_C002_DP0002,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.996249479,116.4669527
NBN_C002_DP0005,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.984374621,116.463567
NBN_C002_DP0006,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.982532624,116.4630142
NBN_C002_DP0007,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.988828449,116.4683098
NBN_C002_DP0008,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.993424246,116.4686038
NBN_C002_DP001A,NABAWAN-SEPULUT,KAMPUNG TETAGAS,5.000311633,116.4657503
NBN_C002_DP001B,NABAWAN-SEPULUT,KAMPUNG TETAGAS,5.000767495,116.4651869
NBN_C002_DP006A,NABAWAN-SEPULUT,KAMPUNG TETAGAS,,
NBN_C002_DP007A,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.981276819,116.4631473
NBN_C002_DP007B,NABAWAN-SEPULUT,KAMPUNG TETAGAS,4.980845068,116.4637985
NBN_C003_DP0001,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.038846773,116.4555833
